eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType,cluster_index
22645,KHAIR,-2150,1,1,1,1,1.0,,35.5,31.100000000000001,,,,999.0,0.0,7.2999999999999998,,MS,0
22647,KHAIR,-1250,1,1,1,1,1.0,,35.5,32.0,,,,999.0,0.0,6.2999999999999998,,MS,0
22648,KHAIR,-759,10,11,1,1,1.0,,35.700000000000003,33.200000000000003,,,,999.0,0.0,7.2000000000000002,,MS,0
22649,KHAIR,-184,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,0.0,6.5999999999999996,,MS,0
22650,KHAIR,-64,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,0.0,7.4000000000000004,,MS,0
22652,KHAIR,-31,9,2,1,1,1.0,,35.5,32.0,,,,999.0,0.0,6.5,,MS,0
9256,GSHAP_TR,23,1,1,1,1,1.0,,30.0,37.200000000000003,,,,999.0,0.0,6.2999999999999998,,MW,0
22653,KHAIR,37,3,23,1,1,1.0,,36.0,36.0,,,,999.0,0.0,6.2999999999999998,,MS,28
34521,SBEI,53,1,1,1,1,1.0,,36.5,36.200000000000003,,,,30.0,0.0,6.5999999999999996,,MS,0
8452,GSHAP_TR,110,1,1,1,1,1.0,,36.0,36.200000000000003,,,,999.0,0.0,6.7000000000000002,,MW,0
22655,KHAIR,115,12,13,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,0.0,7.2999999999999998,,MS,0
34522,SBEI,303,1,1,1,1,1.0,,34.299999999999997,33.799999999999997,,,,20.0,0.0,7.0999999999999996,,MS,0
22657,KHAIR,341,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,0.0,6.0999999999999996,,MS,0
34,AM06,363,5,19,1,1,1.0,,35.399999999999999,31.5,,,,999.0,0.0,7.4000000000000004,,MS,4
22661,KHAIR,419,1,1,1,1,1.0,,34.200000000000003,31.199999999999999,,,,999.0,0.0,6.0999999999999996,,MS,0
22664,KHAIR,457,9,14,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,0.0,6.2999999999999998,,MS,0
34523,SBEI,494,1,1,1,1,1.0,,36.299999999999997,35.799999999999997,,,,25.0,0.0,6.5,,MS,0
34524,SBEI,502,8,22,1,1,1.0,,34.799999999999997,33.0,,,,30.0,0.0,7.2000000000000002,,MS,0
22669,KHAIR,526,5,20,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,0.0,6.7999999999999998,,MS,0
22670,KHAIR,528,11,29,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,0.0,6.9000000000000004,,MS,0
9304,GSHAP_TR,530,1,1,1,1,1.0,,30.0,36.200000000000003,,,,999.0,0.0,6.5,,MW,0
34525,SBEI,531,1,1,1,1,1.0,,37.200000000000003,35.5,,,,15.0,0.0,6.5,,MS,0
22671,KHAIR,551,7,6,1,1,1.0,,35.5,33.899999999999999,,,,999.0,0.0,7.5,,MS,3
8468,GSHAP_TR,561,1,1,1,1,1.0,,35.899999999999999,37.200000000000003,,,,999.0,0.0,6.7000000000000002,,MW,0
34527,SBEI,565,1,1,1,1,1.0,,36.200000000000003,36.0,,,,30.0,0.0,6.0999999999999996,,MS,0
22673,KHAIR,579,1,1,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,0.0,6.0,,MS,0
22674,KHAIR,658,6,15,1,1,1.0,,35.5,32.5,,,,999.0,0.0,6.4000000000000004,,MS,0
22675,KHAIR,713,3,20,1,1,1.0,,36.0,36.0,,,,999.0,0.0,6.7999999999999998,,MS,0
36,AM06,746,1,18,1,1,1.0,,35.5,32.0,,,,999.0,0.0,7.0,,MS,0
22677,KHAIR,746,1,18,1,1,1.0,,35.799999999999997,32.799999999999997,,,,999.0,0.0,7.2000000000000002,,MS,11
22680,KHAIR,835,1,5,1,1,1.0,,36.0,36.0,,,,999.0,0.0,6.0,,MS,0
