eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType,cluster_index
27517,KHAIR,-2150,1,1,1,1,1.0,,35.5,31.100000000000001,,,,999.0,,7.2999999999999998,,MS,0
27519,KHAIR,-1250,1,1,1,1,1.0,,35.5,32.0,,,,999.0,,6.2999999999999998,,MS,0
27520,KHAIR,-759,10,11,1,1,1.0,,35.700000000000003,33.200000000000003,,,,999.0,,7.2000000000000002,,MS,0
9529,GSHAP_TR,-334,1,1,1,1,1.0,,30.0,37.899999999999999,,,,999.0,,6.5,,MW,0
27521,KHAIR,-184,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.5999999999999996,,MS,0
9541,GSHAP_TR,-90,1,1,1,1,1.0,,30.0,37.899999999999999,,,,999.0,,6.5999999999999996,,MW,0
27522,KHAIR,-64,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,7.4000000000000004,,MS,0
27524,KHAIR,-31,9,2,1,1,1.0,,35.5,32.0,,,,999.0,,6.5,,MS,0
9546,GSHAP_TR,23,1,1,1,1,1.0,,30.0,37.200000000000003,,,,999.0,,6.2999999999999998,,MW,0
27525,KHAIR,37,3,23,1,1,1.0,,36.0,36.0,,,,999.0,,6.2999999999999998,,MS,62
34460,SBEI,53,1,1,1,1,1.0,,36.5,36.200000000000003,,,,30.0,,6.5999999999999996,,MS,0
8742,GSHAP_TR,110,1,1,1,1,1.0,,36.0,36.200000000000003,,,,999.0,,6.7000000000000002,,MW,0
27527,KHAIR,115,12,13,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,7.2999999999999998,,MS,0
34461,SBEI,303,1,1,1,1,1.0,,34.299999999999997,33.799999999999997,,,,20.0,,7.0999999999999996,,MS,0
27529,KHAIR,341,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.0999999999999996,,MS,0
34,AM06,363,5,19,1,1,1.0,,35.399999999999999,31.5,,,,999.0,,7.4000000000000004,,MS,7
27533,KHAIR,419,1,1,1,1,1.0,,34.200000000000003,31.199999999999999,,,,999.0,,6.0999999999999996,,MS,0
27536,KHAIR,457,9,14,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.2999999999999998,,MS,0
34462,SBEI,494,1,1,1,1,1.0,,36.299999999999997,35.799999999999997,,,,25.0,,6.5,,MS,0
34463,SBEI,502,8,22,1,1,1.0,,34.799999999999997,33.0,,,,30.0,,7.2000000000000002,,MS,0
27542,KHAIR,528,11,29,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.9000000000000004,,MS,27
9594,GSHAP_TR,530,1,1,1,1,1.0,,30.0,36.200000000000003,,,,999.0,,6.5,,MW,0
34464,SBEI,531,1,1,1,1,1.0,,37.200000000000003,35.5,,,,15.0,,6.5,,MS,0
27543,KHAIR,551,7,6,1,1,1.0,,35.5,33.899999999999999,,,,999.0,,7.5,,MS,6
8758,GSHAP_TR,561,1,1,1,1,1.0,,35.899999999999999,37.200000000000003,,,,999.0,,6.7000000000000002,,MW,0
34466,SBEI,565,1,1,1,1,1.0,,36.200000000000003,36.0,,,,30.0,,6.0999999999999996,,MS,0
27545,KHAIR,579,1,1,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.0,,MS,0
27546,KHAIR,658,6,15,1,1,1.0,,35.5,32.5,,,,999.0,,6.4000000000000004,,MS,0
27547,KHAIR,713,3,20,1,1,1.0,,36.0,36.0,,,,999.0,,6.7999999999999998,,MS,0
36,AM06,746,1,18,1,1,1.0,,35.5,32.0,,,,999.0,,7.0,,MS,0
27549,KHAIR,746,1,18,1,1,1.0,,35.799999999999997,32.799999999999997,,,,999.0,,7.2000000000000002,,MS,13
27552,KHAIR,835,1,5,1,1,1.0,,36.0,36.0,,,,999.0,,6.0,,MS,0
27553,KHAIR,844,9,18,1,1,1.0,,36.299999999999997,33.5,,,,999.0,,6.2999999999999998,,MS,0
27554,KHAIR,847,4,1,1,1,1.0,,36.299999999999997,33.5,,,,999.0,,6.0999999999999996,,MS,0
34468,SBEI,847,11,24,1,1,1.0,,36.299999999999997,34.399999999999999,,,,35.0,,7.5,,MS,0
27556,KHAIR,859,4,8,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,7.9000000000000004,,MS,2
27557,KHAIR,963,7,22,1,1,1.0,,37.0,36.5,,,,999.0,,6.2000000000000002,,MS,0
27558,KHAIR,972,1,1,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.0,,MS,0
27559,KHAIR,991,4,5,1,1,1.0,,36.200000000000003,33.299999999999997,,,,22.0,,6.5,,MS,0
3337,EMEC,1002,11,10,1,1,1.0,,36.5,36.5,,,,18.0,,6.9000000000000004,,MW,0
34495,SHARE,1003,3,21,1,1,1.0,,38.799999999999997,37.100000000000001,,,,999.0,,6.2000000000000002,,MW,0
8766,GSHAP_TR,1011,1,1,1,1,1.0,,39.5,39.740000000000002,,,,999.0,,6.7000000000000002,,MW,0
3338,EMEC,1016,1,1,1,1,1.0,,35.5,32.200000000000003,,,,999.0,,5.5,,MW,0
3339,EMEC,1032,3,6,1,1,1.0,,35.100000000000001,34.799999999999997,,,,999.0,,7.0,,MW,0
3340,EMEC,1033,12,5,1,1,1.0,,35.5,32.5,,,,999.0,,6.5,,MS,0
34503,SHARE,1037,12,18,4,1,1.0,,38.799999999999997,37.100000000000001,,,,999.0,,5.7999999999999998,,MW,0
3342,EMEC,1046,7,8,1,1,1.0,,40.0,39.0,,,,30.0,,7.9000000000000004,,MW,3
3343,EMEC,1047,1,1,1,1,1.0,,35.5,31.0,,,,999.0,,6.5,,MW,0
3344,EMEC,1060,1,1,1,1,1.0,,35.5,32.200000000000003,,,,999.0,,6.0999999999999996,,MW,0
34471,SBEI,1063,7,30,1,1,1.0,,36.200000000000003,34.399999999999999,,,,32.0,,6.9000000000000004,,MS,28
3346,EMEC,1068,1,1,1,1,1.0,,35.299999999999997,30.100000000000001,,,,999.0,,6.9000000000000004,,MW,0
3347,EMEC,1068,5,29,1,1,1.0,,35.299999999999997,32.600000000000001,,,,999.0,,7.0,,MW,0
3348,EMEC,1091,9,17,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.5,,MW,55
3349,EMEC,1094,6,1,1,1,1.0,,36.200000000000003,33.299999999999997,,,,999.0,,5.2000000000000002,,MW,0
3350,EMEC,1097,12,30,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,5.7999999999999998,,MW,0
3351,EMEC,1105,12,24,1,1,1.0,,35.200000000000003,31.800000000000001,,,,999.0,,5.2999999999999998,,MW,0
3352,EMEC,1111,8,31,6,30,1.0,,31.199999999999999,30.0,,,,999.0,,5.7999999999999998,,MW,0
3353,EMEC,1114,8,10,1,1,1.0,,35.5,36.5,,,,999.0,,6.7000000000000002,,MS,0
3354,EMEC,1114,11,1,1,1,1.0,,36.5,37.299999999999997,,,,40.0,,7.2000000000000002,,MS,12
34472,SBEI,1114,11,1,1,1,1.0,,38.5,37.299999999999997,,,,40.0,,7.4000000000000004,,MS,0
3356,EMEC,1117,6,26,1,1,1.0,,35.200000000000003,33.100000000000001,,,,999.0,,6.2999999999999998,,MW,0
3357,EMEC,1121,12,18,1,1,1.0,,37.799999999999997,38.5,,,,999.0,,7.0,,MW,0
3358,EMEC,1138,10,11,1,1,1.0,,37.100000000000001,36.100000000000001,,,,999.0,,7.0999999999999996,,MW,0
3359,EMEC,1149,1,1,1,1,1.0,,36.399999999999999,35.899999999999999,,,,30.0,,6.7000000000000002,,MW,0
3360,EMEC,1150,1,1,1,1,1.0,,35.5,31.800000000000001,,,,999.0,,6.5,,MW,0
3361,EMEC,1151,9,28,1,1,1.0,,36.700000000000003,32.600000000000001,,,,12.0,,6.0,,MS,81
3363,EMEC,1156,5,18,1,1,1.0,,36.600000000000001,36.5,,,,30.0,,7.4000000000000004,,MW,8
27570,KHAIR,1157,8,15,10,0,0.0,,36.299999999999997,35.100000000000001,,,,999.0,,7.2000000000000002,,MS,17
3369,EMEC,1160,1,1,1,1,1.0,,32.600000000000001,32.0,,,,999.0,,6.0,,MS,0
3370,EMEC,1160,1,1,1,1,1.0,,35.299999999999997,32.0,,,,999.0,,6.0,,MW,0
27571,KHAIR,1160,1,1,1,1,1.0,,35.299999999999997,34.700000000000003,,,,999.0,,6.5,,MW,0
3371,EMEC,1163,8,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.7999999999999998,,MW,0
3372,EMEC,1165,1,1,1,1,1.0,,39.5,39.700000000000003,,,,999.0,,6.5,,MW,0
3374,EMEC,1170,1,1,1,1,1.0,,39.5,39.740000000000002,,,,999.0,,6.7000000000000002,,MW,37
39,AM06,1170,6,29,1,1,1.0,,36.399999999999999,34.700000000000003,,,,35.0,,7.0999999999999996,,MS,0
27572,KHAIR,1170,6,29,10,0,0.0,,36.399999999999999,35.899999999999999,,,,999.0,,7.4000000000000004,,MS,0
3376,EMEC,1182,1,1,1,1,1.0,,36.700000000000003,32.600000000000001,,,,999.0,,6.5,,MS,0
3377,EMEC,1183,1,1,1,1,1.0,,32.399999999999999,34.75,,,,999.0,,6.2999999999999998,,MW,0
