eventID,Agency,institution,hour,dtime,magnitudeType,depth,longitude,month,second,magnitude,year,latitude,day,minute
27517,KHAIR,,1,-2149.9998839104514,MS,999.0,35.5,1,1.0,7.3,-2150,31.1,1,1
27519,KHAIR,,1,-1249.9998839104514,MS,999.0,35.5,1,1.0,6.3,-1250,32.0,1,1
27520,KHAIR,,1,-758.22454144469816,MS,999.0,35.7,10,1.0,7.2,-759,33.2,11,1
9529,GSHAP_TR,PAPAZ.,1,-333.99988391045156,MW,999.0,30.0,1,1.0,6.5,-334,37.9,1,1
27521,KHAIR,,1,-183.9998842276361,MS,999.0,36.1,1,1.0,6.6,-184,36.2,1,1
9541,GSHAP_TR,PAPAZ.,1,-89.999883910451544,MW,999.0,30.0,1,1.0,6.6,-90,37.9,1,1
27522,KHAIR,,1,-63.999884227636109,MS,999.0,36.1,1,1.0,7.4,-64,36.2,1,1
27524,KHAIR,,1,-30.331390759766617,MS,999.0,35.5,9,1.0,6.5,-31,32.0,2,1
9546,GSHAP_TR,PAPAZ.,1,23.000116089548452,MW,999.0,30.0,1,1.0,6.3,23,37.2,1,1
34459,SBEI,,1,37.000116089548456,MS,15.0,36.3,1,1.0,6.2,37,36.0,1,1
27525,KHAIR,,1,37.222033897767631,MS,999.0,36.0,3,1.0,6.3,37,36.0,23,1
34460,SBEI,,1,53.000116089548456,MS,30.0,36.5,1,1.0,6.6,53,36.2,1,1
8742,GSHAP_TR,ANK,1,110.00011608954846,MW,999.0,36.0,1,1.0,6.7,110,36.2,1,1
27527,KHAIR,,1,115.9480612950279,MS,999.0,36.1,12,1.0,7.3,115,36.1,13,1
34461,SBEI,,1,303.00011608954844,MS,20.0,34.3,1,1.0,7.1,303,33.8,1,1
27529,KHAIR,,1,341.00011608954844,MS,999.0,36.1,1,1.0,6.1,341,36.2,1,1
27531,KHAIR,,1,362.39189691146623,MS,999.0,35.6,5,1.0,6.5,362,31.3,24,1
34,AM06,,1,363.37819828132928,MS,999.0,35.4,5,1.0,7.4,363,31.5,19,1
27533,KHAIR,,1,419.00011608954844,MS,999.0,34.2,1,1.0,6.1,419,31.2,1,1
27536,KHAIR,,1,457.70148595256217,MS,999.0,36.1,9,1.0,6.3,457,36.1,14,1
34462,SBEI,,1,494.00011608954844,MS,25.0,36.3,1,1.0,6.5,494,35.8,1,1
34463,SBEI,,1,502.63847225393204,MS,30.0,34.8,8,1.0,7.2,502,33.0,22,1
27541,KHAIR,,1,526.38093800735669,MS,999.0,36.1,5,1.0,6.8,526,36.2,20,1
27542,KHAIR,,1,528.90995183793768,MS,999.0,36.1,11,1.0,6.9,528,36.2,29,1
9594,GSHAP_TR,PAPAZ.,1,530.00011608954844,MW,999.0,30.0,1,1.0,6.5,530,36.2,1,1
34464,SBEI,,1,531.00011608954844,MS,15.0,37.2,1,1.0,6.5,531,35.5,1,1
27543,KHAIR,,1,551.50970513064431,MS,999.0,35.5,7,1.0,7.5,551,33.9,6,1
35,AM06,,1,551.51792430872649,MS,28.0,35.5,7,1.0,7.2,551,33.9,9,1
8758,GSHAP_TR,ANK,1,561.00011608954844,MW,999.0,35.9,1,1.0,6.7,561,37.2,1,1
34466,SBEI,,1,565.00011608954844,MS,30.0,36.2,1,1.0,6.1,565,36.0,1,1
27545,KHAIR,,1,579.00011608954844,MS,999.0,36.1,1,1.0,6.0,579,36.1,1,1
27546,KHAIR,,1,658.45217088406901,MS,999.0,35.5,6,1.0,6.4,658,32.5,15,1
27547,KHAIR,,1,713.21381471968539,MS,999.0,36.0,3,1.0,6.8,713,36.0,20,1
36,AM06,,1,746.0466914320142,MS,999.0,35.5,1,1.0,7.0,746,32.0,18,1
27549,KHAIR,,1,746.0466914320142,MS,999.0,35.8,1,1.0,7.2,746,32.8,18,1
34467,SBEI,,1,747.0466914320142,MS,25.0,35.6,1,1.0,7.2,747,32.5,18,1
27552,KHAIR,,1,835.01107499365799,MS,999.0,36.0,1,1.0,6.0,835,36.0,5,1
27553,KHAIR,,1,844.71323052646221,MS,999.0,36.3,9,1.0,6.3,844,33.5,18,1
27554,KHAIR,,1,847.24669143201425,MS,999.0,36.3,4,1.0,6.1,847,33.5,1,1
34468,SBEI,,1,847.89600650050738,MS,35.0,36.3,11,1.0,7.5,847,34.4,24,1
27556,KHAIR,,1,859.26586951420597,MS,999.0,36.1,4,1.0,7.9,859,36.2,8,1
34469,SBEI,,1,859.99463663749361,MS,33.0,36.4,12,1.0,7.4,859,35.7,30,1
37,AM06,,1,860.00011577236387,MS,999.0,35.5,1,1.0,7.0,860,35.5,1,1
27557,KHAIR,,1,963.55354074708271,MS,999.0,37.0,7,1.0,6.2,963,36.5,22,1
27558,KHAIR,,1,972.00011577236387,MS,999.0,36.1,1,1.0,6.0,972,36.1,1,1
27559,KHAIR,,1,991.25765033612379,MS,22.0,36.2,4,1.0,6.5,991,33.3,5,1
3337,EMEC,KU,1,1002.8576503361238,MW,18.0,36.5,11,1.0,6.9,1002,36.5,10,1
34495,SHARE,,1,1003.2165544457129,MW,999.0,38.8,3,1.0,6.2,1003,37.1,21,1
8766,GSHAP_TR,ANK,1,1011.0001160895484,MW,999.0,39.5,1,1.0,6.7,1011,39.74,1,1
3338,EMEC,FA,1,1016.0001157723639,MW,999.0,35.5,1,1.0,5.5,1016,32.2,1,1
3339,EMEC,FA,1,1032.1777114007791,MW,999.0,35.1,3,1.0,7.0,1032,34.8,6,1
3340,EMEC,,1,1033.9261434868088,MS,999.0,35.5,12,1.0,6.5,1033,32.5,5,1
34503,SHARE,,4,1037.9621023909183,MW,999.0,38.8,12,1.0,5.8,1037,37.1,18,1
3341,EMEC,,1,1045.0001160895486,MW,999.0,39.5,1,1.0,6.8,1045,39.7,1,1
3342,EMEC,KU,1,1046.5151845826992,MW,30.0,40.0,7,1.0,7.9,1046,39.0,8,1
3343,EMEC,FA,1,1047.0001160895486,MW,999.0,35.5,1,1.0,6.5,1047,31.0,1,1
3344,EMEC,FA,1,1060.0001157723639,MW,999.0,35.5,1,1.0,6.1,1060,32.2,1,1
34471,SBEI,,1,1063.5754585553018,MS,32.0,36.2,7,1.0,6.9,1063,34.4,30,1
3345,EMEC,SDM,1,1063.5809380073567,MW,32.0,36.3,8,1.0,6.8,1063,34.4,1,1
3346,EMEC,ZIL05,1,1068.0001157723639,MW,999.0,35.3,1,1.0,6.9,1068,30.1,1,1
3347,EMEC,GC,1,1068.4072195975004,MW,999.0,35.3,5,1.0,7.0,1068,32.6,29,1
34516,SHARE,,1,1091.665869514206,MW,999.0,36.1,9,1.0,5.8,1091,36.25,1,1
3348,EMEC,KKP,1,1091.7097051306444,MW,999.0,36.1,9,1.0,6.5,1091,36.1,17,1
3349,EMEC,FA,1,1094.4138147196854,MW,999.0,36.2,6,1.0,5.2,1094,33.3,1,1
3350,EMEC,GC,1,1097.9946366374936,MW,999.0,36.1,12,1.0,5.8,1097,36.2,30,1
3351,EMEC,GC,1,1105.9781982813292,MW,999.0,35.2,12,1.0,5.3,1105,31.8,24,1
3352,EMEC,GC,6,1111.6637557394724,MW,999.0,31.2,8,1.0,5.8,1111,30.0,31,30
3353,EMEC,,1,1114.6055955416032,MS,999.0,35.5,8,1.0,6.7,1114,36.5,10,1
27565,KHAIR,,1,1114.6055955416032,MW,999.0,36.0,8,1.0,6.8,1114,37.1,10,1
3354,EMEC,,1,1114.8329928018773,MS,40.0,36.5,11,1.0,7.2,1114,37.3,1,1
34472,SBEI,,1,1114.8329928018773,MS,40.0,38.5,11,1.0,7.4,1114,37.3,1,1
3355,EMEC,,1,1114.9097051306444,MW,999.0,36.9,11,1.0,6.2,1114,37.5,29,1
3356,EMEC,GC,1,1117.4823078703703,MW,999.0,35.2,6,1.0,6.3,1117,33.1,26,1
3357,EMEC,GC,1,1121.9617599251649,MW,999.0,37.8,12,1.0,7.0,1121,38.5,18,1
3358,EMEC,KKP,1,1138.7754585553018,MW,999.0,37.1,10,1.0,7.1,1138,36.1,11,1
3359,EMEC,KU,1,1149.0001160895486,MW,30.0,36.4,1,1.0,6.7,1149,35.9,1,1
3360,EMEC,GC,1,1150.0001160895486,MW,999.0,35.5,1,1.0,6.5,1150,31.8,1,1
3361,EMEC,,1,1151.7398421169457,MS,12.0,36.7,9,1.0,6.0,1151,32.6,28,1
3362,EMEC,GC,4,1152.0851567559705,MW,999.0,36.5,2,1.0,5.0,1152,32.5,1,1
3363,EMEC,KU,1,1156.3771649526918,MW,30.0,36.6,5,1.0,7.4,1156,36.5,18,1
3364,EMEC,GC,1,1156.7815365373913,MW,999.0,36.4,10,1.0,5.5,1156,35.4,13,1
3365,EMEC,GC,1,1156.9372742423093,MW,999.0,37.2,12,1.0,6.0,1156,36.2,9,1
3366,EMEC,,1,1157.2494311580417,MS,22.0,36.5,4,1.0,5.8,1157,35.4,2,1
34476,SBEI,,1,1157.528883212836,MS,25.0,36.6,7,1.0,6.6,1157,35.2,13,1
3367,EMEC,,1,1157.534362664891,MS,999.0,36.5,7,1.0,6.0,1157,34.5,15,1
38,AM06,,1,1157.6110749936581,MS,15.0,36.4,8,1.0,7.0,1157,35.3,12,1
27570,KHAIR,,10,1157.6203196347033,MS,999.0,36.3,8,0.0,7.2,1157,35.1,15,0
3369,EMEC,,1,1160.0001157723639,MS,999.0,32.6,1,1.0,6.0,1160,32.0,1,1
3370,EMEC,GC,1,1160.0001157723639,MW,999.0,35.3,1,1.0,6.0,1160,32.0,1,1
27571,KHAIR,KKP,1,1160.0001157723639,MW,999.0,35.3,1,1.0,6.5,1160,34.7,1,1
3371,EMEC,GC,1,1163.5809380073567,MW,999.0,36.1,8,1.0,6.8,1163,36.2,1,1
3372,EMEC,ANK,1,1165.0001160895486,MW,999.0,39.5,1,1.0,6.5,1165,39.7,1,1
3373,EMEC,,1,1168.0001157723639,MW,999.0,39.5,1,1.0,6.2,1168,39.74,1,1
3374,EMEC,ANK,1,1170.0001160895486,MW,999.0,39.5,1,1.0,6.7,1170,39.74,1,1
39,AM06,,1,1170.4905270484526,MS,35.0,36.4,6,1.0,7.1,1170,34.7,29,1
27572,KHAIR,,10,1170.4915525114154,MS,999.0,36.4,6,0.0,7.4,1170,35.9,29,0
3376,EMEC,,1,1182.0001160895486,MS,999.0,36.7,1,1.0,6.5,1182,32.6,1,1
3377,EMEC,,1,1183.0001160895486,MW,999.0,32.4,1,1.0,6.3,1183,34.75,1,1
34530,SHARE,,1,1190.4138147196854,MW,999.0,33.2,6,1.0,6.2,1190,37.15,1,1
27575,KHAIR,,40,1201.4210045662101,MS,999.0,36.1,6,0.0,7.5,1201,34.1,2,0
40,AM06,,1,1202.3809380073567,MS,30.0,35.9,5,1.0,7.0,1202,33.9,20,1
27576,KHAIR,,10,1202.3819634703195,MS,999.0,35.5,5,0.0,6.8,1202,32.5,20,0
8776,GSHAP_TR,ANK,1,1205.0001160895486,MW,999.0,35.5,1,1.0,7.0,1205,38.72,1,1
3379,EMEC,AMB06,1,1212.33071686526,MW,999.0,35.0,5,1.0,7.0,1212,30.0,1,1
3380,EMEC,GC,1,1213.4713489662608,MW,999.0,32.3,6,1.0,7.0,1213,37.2,22,1
34536,SHARE,,6,1222.3568512493657,MW,999.0,32.5,5,1.0,6.8,1222,34.5,11,1
3381,EMEC,GC,6,1222.3568778855911,MW,999.0,32.8,5,1.0,6.8,1222,34.7,11,15
3382,EMEC,,1,1236.0001157723639,MW,999.0,39.5,1,1.0,5.8,1236,39.7,1,1
8777,GSHAP_TR,ANK,1,1251.0001160895486,MW,999.0,39.5,1,1.0,6.7,1251,39.74,1,1
3383,EMEC,GC,1,1254.7754585553018,MW,999.0,39.5,10,1.0,7.0,1254,39.7,11,1
34541,SHARE,,1,1254.7836777333841,MW,999.0,39.0,10,1.0,6.2,1254,40.0,14,1
8778,GSHAP_TR,ANK,1,1255.0001160895486,MW,999.0,39.5,1,1.0,6.7,1255,39.74,1,1
3384,EMEC,FA,1,1259.2192941717403,MW,999.0,35.5,3,1.0,6.5,1259,32.5,22,1
3385,EMEC,FA,1,1261.0001160895486,MW,999.0,35.5,1,1.0,7.1,1261,34.0,1,1
34544,SHARE,,1,1268.0001157723639,MW,999.0,35.8,1,1.0,6.8,1268,37.35,1,1
3386,EMEC,GC,17,1269.2923535324708,MW,999.0,36.6,4,1.0,7.0,1269,37.0,17,1
3387,EMEC,GC,1,1280.0001157723639,MW,999.0,39.5,1,1.0,5.0,1280,39.7,1,1
34547,SHARE,,1,1281.0001160895486,MW,999.0,39.5,1,1.0,5.4,1281,39.75,1,1
3388,EMEC,GC,1,1284.0001157723639,MW,999.0,36.2,1,1.0,6.3,1284,33.3,1,1
3389,EMEC,KKP,1,1284.0001157723639,MW,999.0,38.6,1,1.0,6.8,1284,38.0,1,1
8781,GSHAP_TR,,1,1287.0001160895486,MW,999.0,35.75,1,1.0,6.2,1287,35.6,1,1
34550,SHARE,ANK,1,1287.0001160895486,MW,999.0,39.5,1,1.0,6.7,1287,39.74,1,1
3390,EMEC,GC,1,1287.0850475963978,MW,999.0,36.7,2,1.0,5.8,1287,34.7,1,1
3391,EMEC,GC,1,1287.1809380073566,MW,999.0,36.7,3,1.0,5.5,1287,34.7,8,1
3392,EMEC,GC,1,1287.2192941717403,MW,999.0,35.8,3,1.0,6.0,1287,35.5,22,1
3393,EMEC,FA,1,1287.2494311580417,MW,999.0,35.5,4,1.0,6.5,1287,33.0,2,1
