eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor9,SemiMinor9,ErrorStrik,depth,depthError,magnitude,sigmaMagni,magnitudeT
4,EMCA,-250,1,1,0,0,0.000000000000000,,77.500000000000000,42.700000000000003,,,,20.000000000000000,,6.700000000000000,,
6,EMCA,500,1,1,0,0,0.000000000000000,,76.500000000000000,42.700000000000003,,,,20.000000000000000,,6.700000000000000,,
43,EMCA,1475,1,1,0,0,0.000000000000000,,75.200000000000003,42.600000000000001,,,,15.000000000000000,,6.400000000000000,,
45,EMCA,1490,2,20,0,0,0.000000000000000,,67.099999999999994,39.399999999999999,,,,15.000000000000000,,5.800000000000000,,
46,EMCA,1494,1,1,0,0,0.000000000000000,,71.599999999999994,41.000000000000000,,,,6.000000000000000,,5.100000000000000,,
51,EMCA,1620,1,1,0,0,0.000000000000000,,71.400000000000006,40.899999999999999,,,,6.000000000000000,,5.800000000000000,,
68,EMCA,1716,1,1,0,0,0.000000000000000,,81.000000000000000,43.200000000000003,,,,30.000000000000000,,7.500000000000000,,
70,EMCA,1761,12,12,18,0,0.000000000000000,,83.000000000000000,50.500000000000000,,,,20.000000000000000,,5.000000000000000,,
71,EMCA,1765,2,9,0,0,0.000000000000000,,82.900000000000006,44.700000000000003,,,,15.000000000000000,,6.000000000000000,,
72,EMCA,1770,1,1,0,0,0.000000000000000,,74.099999999999994,42.799999999999997,,,,15.000000000000000,,6.000000000000000,,
74,EMCA,1783,1,17,10,0,0.000000000000000,,81.200000000000003,50.700000000000003,,,,27.000000000000000,,5.900000000000000,,
75,EMCA,1785,2,21,0,0,0.000000000000000,,48.100000000000001,46.399999999999999,,,,20.000000000000000,,5.400000000000000,,
76,EMCA,1786,6,18,0,0,0.000000000000000,,80.799999999999997,44.000000000000000,,,,15.000000000000000,,6.500000000000000,,
77,EMCA,1786,7,21,0,0,0.000000000000000,,85.599999999999994,50.500000000000000,,,,20.000000000000000,,4.300000000000000,,
78,EMCA,1799,1,1,0,0,0.000000000000000,,67.200000000000003,39.399999999999999,,,,10.000000000000000,,6.000000000000000,,
79,EMCA,1807,1,1,0,0,0.000000000000000,,76.900000000000006,43.100000000000001,,,,20.000000000000000,,6.700000000000000,,
84,EMCA,1812,3,8,0,0,0.000000000000000,,83.000000000000000,43.700000000000003,,,,15.000000000000000,,7.500000000000000,,
86,EMCA,1817,1,1,0,0,0.000000000000000,,67.099999999999994,39.399999999999999,,,,10.000000000000000,,5.300000000000000,,
92,EMCA,1824,3,11,6,0,0.000000000000000,,83.900000000000006,50.100000000000001,,,,20.000000000000000,,4.300000000000000,,
93,EMCA,1824,3,31,21,0,0.000000000000000,,83.400000000000006,50.600000000000001,,,,20.000000000000000,,5.200000000000000,,
94,EMCA,1825,2,8,18,0,0.000000000000000,,84.400000000000006,49.799999999999997,,,,20.000000000000000,,4.400000000000000,,
99,EMCA,1829,4,21,0,0,0.000000000000000,,83.900000000000006,50.100000000000001,,,,24.000000000000000,,5.200000000000000,,
102,EMCA,1831,6,22,21,30,0.000000000000000,,82.599999999999994,51.500000000000000,,,,32.000000000000000,,4.900000000000000,,
111,EMCA,1844,1,1,0,0,0.000000000000000,,81.500000000000000,49.500000000000000,,,,20.000000000000000,,4.800000000000000,,
114,EMCA,1846,10,30,21,0,0.000000000000000,,81.799999999999997,48.500000000000000,,,,40.000000000000000,,5.400000000000000,,
127,EMCA,1857,12,24,7,50,0.000000000000000,,83.400000000000006,48.299999999999997,,,,24.000000000000000,,6.400000000000000,,
135,EMCA,1865,3,22,0,53,0.000000000000000,,73.200000000000003,42.700000000000003,,,,15.000000000000000,,6.400000000000000,,
137,EMCA,1868,4,3,21,15,0.000000000000000,,69.599999999999994,41.200000000000003,,,,18.000000000000000,,6.500000000000000,,
138,EMCA,1868,8,29,8,0,0.000000000000000,,75.900000000000006,42.700000000000003,,,,20.000000000000000,,6.400000000000000,,
140,EMCA,1869,3,25,0,30,0.000000000000000,,69.500000000000000,39.799999999999997,,,,30.000000000000000,,5.500000000000000,,
150,EMCA,1874,1,18,15,0,0.000000000000000,,77.400000000000006,42.899999999999999,,,,20.000000000000000,,5.900000000000000,,
151,EMCA,1874,9,21,1,30,0.000000000000000,,80.599999999999994,45.600000000000001,,,,15.000000000000000,,4.500000000000000,,
155,EMCA,1878,3,28,17,0,0.000000000000000,,82.799999999999997,46.700000000000003,,,,15.000000000000000,,4.700000000000000,,
158,EMCA,1880,4,4,0,0,0.000000000000000,,67.299999999999997,39.399999999999999,,,,15.000000000000000,,5.100000000000000,,
160,EMCA,1880,12,1,23,30,0.000000000000000,,76.900000000000006,43.100000000000001,,,,14.000000000000000,,5.700000000000000,,
170,EMCA,1884,3,13,5,7,0.000000000000000,,78.200000000000003,42.700000000000003,,,,20.000000000000000,,5.800000000000000,,
172,EMCA,1885,8,2,21,20,0.000000000000000,,74.099999999999994,42.700000000000003,,,,15.000000000000000,,6.900000000000000,,
173,EMCA,1885,9,19,20,0,0.000000000000000,,75.799999999999997,41.700000000000003,,,,14.000000000000000,,5.000000000000000,,
175,EMCA,1886,11,8,0,0,0.000000000000000,,75.000000000000000,43.000000000000000,,,,28.000000000000000,,5.400000000000000,,
176,EMCA,1886,11,29,4,13,0.000000000000000,,69.500000000000000,41.399999999999999,,,,26.000000000000000,,6.700000000000000,,
177,EMCA,1887,1,13,20,45,0.000000000000000,,82.900000000000006,50.299999999999997,,,,18.000000000000000,,5.800000000000000,,
178,EMCA,1887,6,8,23,35,0.000000000000000,,76.799999999999997,43.100000000000001,,,,20.000000000000000,,7.300000000000000,,
179,EMCA,1887,8,21,21,0,0.000000000000000,,76.799999999999997,43.100000000000001,,,,20.000000000000000,,5.700000000000000,,
180,EMCA,1887,12,10,0,0,0.000000000000000,,80.500000000000000,50.500000000000000,,,,15.000000000000000,,5.200000000000000,,
181,EMCA,1888,1,31,19,5,0.000000000000000,,73.299999999999997,42.799999999999997,,,,20.000000000000000,,4.800000000000000,,
182,EMCA,1888,9,16,19,0,0.000000000000000,,74.799999999999997,42.799999999999997,,,,20.000000000000000,,5.400000000000000,,
183,EMCA,1888,11,10,20,0,0.000000000000000,,80.500000000000000,44.700000000000003,,,,20.000000000000000,,6.200000000000000,,
184,EMCA,1888,11,14,0,0,0.000000000000000,,78.500000000000000,44.799999999999997,,,,20.000000000000000,,5.700000000000000,,
185,EMCA,1888,11,28,6,40,0.000000000000000,,69.799999999999997,40.000000000000000,,,,20.000000000000000,,6.300000000000000,,
186,EMCA,1888,11,29,0,0,0.000000000000000,,79.299999999999997,44.899999999999999,,,,30.000000000000000,,6.100000000000000,,
