Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
38.79,26.56,499.5,0,0.000003838,0.7058
38.79,26.66,499.5,0,0.000004579,0.7058
38.79,26.76,499.5,0,0.000005311,0.7058
38.79,26.86,499.5,0,0.000005968,0.7058
38.79,26.96,499.5,0,0.000006467,0.7058
38.79,27.06,499.5,0,0.000006729,0.7058
38.79,27.16,499.5,0,0.000006694,0.7058
38.79,27.26,499.5,0,0.000006342,0.7058
38.79,27.36,499.5,0,0.000005703,0.7058
38.79,27.46,499.5,0,0.000004853,0.7058
38.79,27.56,499.5,0,0.0000039,0.7058
38.79,27.66,499.5,0,0.000002955,0.7058
38.79,27.76,499.5,0,0.000002109,0.7058
38.79,27.86,499.5,0,0.000001417,0.7058
38.79,27.96,499.5,0,8.962E-007,0.7058
38.79,28.06,499.5,0,5.332E-007,0.7058
38.79,28.16,499.5,0,2.984E-007,0.7058
38.79,28.26,499.5,0,1.571E-007,0.7058
38.79,28.36,499.5,0,7.785E-008,0.7058
38.79,28.46,499.5,0,3.628E-008,0.7058
38.79,28.56,499.5,0,1.591E-008,0.7058
38.79,28.66,499.5,0,6.561E-009,0.7058
38.79,28.76,499.5,0,2.546E-009,0.7058
38.79,28.86,499.5,0,9.294E-010,0.7058
38.79,28.96,499.5,0,0,0.7058
38.79,29.06,499.5,0,0,0.7058
38.79,29.16,499.5,0,0,0.7058
38.79,29.26,499.5,0,0,0.7058
38.79,29.36,499.5,0,0,0.7058
38.79,29.46,499.5,0,0,0.7058
38.79,29.56,499.5,0,0,0.7058
38.79,29.66,499.5,0,0,0.7058
38.79,29.76,499.5,0,0,0.7058
38.79,29.86,499.5,0,0,0.7058
38.79,29.96,499.5,0,0,0.7058
38.79,30.06,499.5,0,0,0.7058
38.79,30.16,499.5,0,9.294E-010,0.7058
38.79,30.26,499.5,0,2.546E-009,0.7058
38.79,30.36,499.5,0,6.561E-009,0.7058
38.79,30.46,499.5,0,1.591E-008,0.7058
38.79,30.56,499.5,0,3.628E-008,0.7058
38.79,30.66,499.5,0,7.785E-008,0.7058
38.79,30.76,499.5,0,1.572E-007,0.7058
38.79,30.86,499.5,0,2.984E-007,0.7058
38.79,30.96,499.5,0,5.331E-007,0.7058
38.79,31.06,499.5,0,0.000000896,0.7058
38.79,31.16,499.5,0,0.000001417,0.7058
38.79,31.26,499.5,0,0.000002107,0.7058
38.79,31.36,499.5,0,0.000002948,0.7058
38.79,31.46,499.5,0,0.000003881,0.7058
38.79,31.56,499.5,0,0.000004806,0.7058
38.79,31.66,499.5,0,0.000005599,0.7058
38.79,31.76,499.5,0,0.000006136,0.7058
38.79,31.86,499.5,0,0.000006326,0.7058
38.79,31.96,499.5,0,0.000006136,0.7058
38.79,32.06,499.5,0,0.000005599,0.7058
38.79,32.16,499.5,0,0.000004806,0.7058
38.79,32.26,499.5,0,0.000003881,0.7058
38.79,32.36,499.5,0,0.000002948,0.7058
38.79,32.46,499.5,0,0.000002107,0.7058
38.79,32.56,499.5,0,0.000005721,0.7058
38.79,32.66,499.5,0,0.00001249,0.7058
38.79,32.76,499.5,0,0.00002997,0.7058
38.79,32.86,499.5,0,0.00007063,0.7058
38.79,32.96,499.5,0,0.0001588,0.7058
38.79,33.06,499.5,0,0.0003365,0.7058
38.79,33.16,499.5,0,0.0006719,0.7058
38.79,33.26,499.5,0,0.001264,0.7058
38.79,33.36,499.5,0,0.00224,0.7058
38.79,33.46,499.5,0,0.003745,0.7058
38.79,33.56,499.5,0,0.0059,0.7058
38.79,33.66,499.5,0,0.008765,0.7058
38.79,33.76,499.5,0,0.01229,0.7058
38.79,33.86,499.5,0,0.0163,0.7058
38.79,33.96,499.5,0,0.02048,0.7058
38.79,34.06,499.5,0,0.02448,0.7058
38.79,34.16,499.5,0,0.028,0.7058
38.79,34.26,499.5,0,0.03093,0.7058
38.79,34.36,499.5,0,0.0334,0.7058
38.79,34.46,499.5,0,0.0358,0.7058
38.79,34.56,499.5,0,0.03861,0.7058
38.79,34.66,499.5,0,0.04227,0.7058
38.79,34.76,499.5,0,0.04691,0.7058
38.79,34.86,499.5,0,0.05228,0.7058
38.79,34.96,499.5,0,0.05775,0.7058
38.79,35.06,499.5,0,0.06248,0.7058
38.79,35.16,499.5,0,0.06566,0.7058
38.79,35.26,499.5,0,0.06674,0.7058
38.79,35.36,499.5,0,0.06554,0.7058
38.79,35.46,499.5,0,0.06227,0.7058
38.79,35.56,499.5,0,0.05737,0.7058
38.79,35.66,499.5,0,0.05142,0.7058
38.79,35.76,499.5,0,0.04499,0.7058
38.69,26.56,499.5,0,0.00001088,0.7058
38.69,26.66,499.5,0,0.00001298,0.7058
38.69,26.76,499.5,0,0.00001506,0.7058
38.69,26.86,499.5,0,0.00001693,0.7058
38.69,26.96,499.5,0,0.00001835,0.7058
38.69,27.06,499.5,0,0.00001909,0.7058
38.69,27.16,499.5,0,0.000019,0.7058
38.69,27.26,499.5,0,0.000018,0.7058
38.69,27.36,499.5,0,0.00001618,0.7058
38.69,27.46,499.5,0,0.00001377,0.7058
38.69,27.56,499.5,0,0.00001106,0.7058
38.69,27.66,499.5,0,0.000008379,0.7058
38.69,27.76,499.5,0,0.000005978,0.7058
38.69,27.86,499.5,0,0.000004014,0.7058
38.69,27.96,499.5,0,0.000002537,0.7058
38.69,28.06,499.5,0,0.000001508,0.7058
38.69,28.16,499.5,0,8.435E-007,0.7058
38.69,28.26,499.5,0,4.438E-007,0.7058
38.69,28.36,499.5,0,2.196E-007,0.7058
38.69,28.46,499.5,0,1.022E-007,0.7058
38.69,28.56,499.5,0,4.478E-008,0.7058
38.69,28.66,499.5,0,1.845E-008,0.7058
38.69,28.76,499.5,0,7.148E-009,0.7058
38.69,28.86,499.5,0,2.606E-009,0.7058
38.69,28.96,499.5,0,0,0.7058
38.69,29.06,499.5,0,0,0.7058
38.69,29.16,499.5,0,0,0.7058
38.69,29.26,499.5,0,0,0.7058
38.69,29.36,499.5,0,0,0.7058
38.69,29.46,499.5,0,0,0.7058
38.69,29.56,499.5,0,0,0.7058
38.69,29.66,499.5,0,0,0.7058
38.69,29.76,499.5,0,0,0.7058
38.69,29.86,499.5,0,0,0.7058
38.69,29.96,499.5,0,0,0.7058
38.69,30.06,499.5,0,0,0.7058
38.69,30.16,499.5,0,2.606E-009,0.7058
38.69,30.26,499.5,0,7.148E-009,0.7058
38.69,30.36,499.5,0,1.845E-008,0.7058
38.69,30.46,499.5,0,4.478E-008,0.7058
38.69,30.56,499.5,0,1.022E-007,0.7058
38.69,30.66,499.5,0,2.196E-007,0.7058
38.69,30.76,499.5,0,4.438E-007,0.7058
38.69,30.86,499.5,0,8.434E-007,0.7058
38.69,30.96,499.5,0,0.000001508,0.7058
38.69,31.06,499.5,0,0.000002536,0.7058
38.69,31.16,499.5,0,0.000004012,0.7058
38.69,31.26,499.5,0,0.000005971,0.7058
38.69,31.36,499.5,0,0.000008359,0.7058
38.69,31.46,499.5,0,0.00001101,0.7058
38.69,31.56,499.5,0,0.00001364,0.7058
38.69,31.66,499.5,0,0.00001589,0.7058
38.69,31.76,499.5,0,0.00001742,0.7058
38.69,31.86,499.5,0,0.00001796,0.7058
38.69,31.96,499.5,0,0.00001742,0.7058
38.69,32.06,499.5,0,0.00001589,0.7058
38.69,32.16,499.5,0,0.00001364,0.7058
38.69,32.26,499.5,0,0.00001101,0.7058
38.69,32.36,499.5,0,0.000008359,0.7058
38.69,32.46,499.5,0,0.000005972,0.7058
38.69,32.56,499.5,0,0.000007703,0.7058
38.69,32.66,499.5,0,0.00001249,0.7058
38.69,32.76,499.5,0,0.00002682,0.7058
38.69,32.86,499.5,0,0.0000614,0.7058
38.69,32.96,499.5,0,0.0001374,0.7058
38.69,33.06,499.5,0,0.0002912,0.7058
38.69,33.16,499.5,0,0.0005822,0.7058
